json_path,observed_types,occurrences,null_occurrences,sample_values
$.gameData.players.*.nameFirstLast,string,50,0,"[""Greg Holland"", ""Francisco Mejía"", ""Archie Bradley"", ""Austin Hedges"", ""Yoan López""]"
$.gameData.players.*.nameMatrilineal,string,7,0,"[""Leyva"", ""Gomez"", ""Valdez"", ""Guerrero"", ""Garcia""]"
$.gameData.players.*.nameSlug,string,50,0,"[""greg-holland-518813"", ""francisco-mejia-642336"", ""archie-bradley-605151"", ""austin-hedges-595978"", ""yoan-lopez-661255""]"
$.gameData.players.*.nameSuffix,string,2,0,"[""III"", ""Jr.""]"
$.gameData.players.*.nameTitle,string,2,0,"[""III"", ""Jr.""]"
$.gameData.players.*.nickName,string,45,0,"[""Holly"", ""Franky"", ""Crash Landing"", ""Hedgey"", ""El Asere""]"
$.gameData.players.*.pitchHand,object,50,0,[]
$.gameData.players.*.pitchHand.code,string,50,0,"[""R"", ""L""]"
$.gameData.players.*.pitchHand.description,string,50,0,"[""Right"", ""Left""]"
$.gameData.players.*.primaryNumber,string,39,0,"[""27"", ""25"", ""44"", ""11"", ""34""]"
$.gameData.players.*.primaryPosition,object,50,0,[]
$.gameData.players.*.primaryPosition.abbreviation,string,50,0,"[""P"", ""C"", ""RF"", ""SS"", ""2B""]"
$.gameData.players.*.primaryPosition.code,string,50,0,"[""1"", ""2"", ""9"", ""6"", ""4""]"
$.gameData.players.*.primaryPosition.name,string,50,0,"[""Pitcher"", ""Catcher"", ""Outfielder"", ""Shortstop"", ""Second Base""]"
$.gameData.players.*.primaryPosition.type,string,50,0,"[""Pitcher"", ""Catcher"", ""Outfielder"", ""Infielder""]"
$.gameData.players.*.pronunciation,string,27,0,"[""meh-HE-uh"", ""BRAD-lee"", ""yo-AHN"", ""REN-fro"", ""AH-med""]"
$.gameData.players.*.strikeZoneBottom,number,50,0,"[1.575, 1.52, 1.71, 1.618, 1.688]"
$.gameData.players.*.strikeZoneTop,number,50,0,"[3.121, 3.27, 3.388, 3.207, 3.344]"
$.gameData.players.*.useLastName,string,50,0,"[""Holland"", ""Mejía"", ""Bradley"", ""Hedges"", ""López""]"
$.gameData.players.*.useName,string,50,0,"[""Greg"", ""Francisco"", ""Archie"", ""Austin"", ""Yoan""]"
$.gameData.players.*.weight,integer,50,0,"[210, 188, 215, 220, 208]"
$.gameData.primaryDatacaster,object,1,0,[]
$.gameData.primaryDatacaster.fullName,string,1,0,"[""Jim Marshall""]"
$.gameData.primaryDatacaster.id,integer,1,0,[431181]
$.gameData.primaryDatacaster.link,string,1,0,"[""/api/v1/people/431181""]"
$.gameData.probablePitchers,object,1,0,[]
$.gameData.probablePitchers.away,object,1,0,[]
$.gameData.probablePitchers.away.fullName,string,1,0,"[""Merrill Kelly""]"
$.gameData.probablePitchers.away.id,integer,1,0,[518876]
$.gameData.probablePitchers.away.link,string,1,0,"[""/api/v1/people/518876""]"
$.gameData.probablePitchers.home,object,1,0,[]
$.gameData.probablePitchers.home.fullName,string,1,0,"[""Matt Strahm""]"
$.gameData.probablePitchers.home.id,integer,1,0,[621381]
$.gameData.probablePitchers.home.link,string,1,0,"[""/api/v1/people/621381""]"
$.gameData.review,object,1,0,[]
$.gameData.review.away,object,1,0,[]
$.gameData.review.away.remaining,integer,1,0,[1]
$.gameData.review.away.used,integer,1,0,[0]
$.gameData.review.hasChallenges,boolean,1,0,[false]
$.gameData.review.home,object,1,0,[]
$.gameData.review.home.remaining,integer,1,0,[1]
$.gameData.review.home.used,integer,1,0,[0]
$.gameData.status,object,1,0,[]
$.gameData.status.abstractGameCode,string,1,0,"[""F""]"
$.gameData.status.abstractGameState,string,1,0,"[""Final""]"
$.gameData.status.codedGameState,string,1,0,"[""F""]"
$.gameData.status.detailedState,string,1,0,"[""Final""]"
$.gameData.status.startTimeTBD,boolean,1,0,[false]
$.gameData.status.statusCode,string,1,0,"[""F""]"
$.gameData.teams,object,1,0,[]
$.gameData.teams.away,object,1,0,[]
$.gameData.teams.away.abbreviation,string,1,0,"[""AZ""]"
$.gameData.teams.away.active,boolean,1,0,[true]
$.gameData.teams.away.allStarStatus,string,1,0,"[""N""]"
$.gameData.teams.away.clubName,string,1,0,"[""Diamondbacks""]"
$.gameData.teams.away.division,object,1,0,[]
$.gameData.teams.away.division.id,integer,1,0,[203]
$.gameData.teams.away.division.link,string,1,0,"[""/api/v1/divisions/203""]"
$.gameData.teams.away.division.name,string,1,0,"[""National League West""]"
$.gameData.teams.away.fileCode,string,1,0,"[""ari""]"
$.gameData.teams.away.firstYearOfPlay,string,1,0,"[""1996""]"
$.gameData.teams.away.franchiseName,string,1,0,"[""Arizona""]"
$.gameData.teams.away.id,integer,1,0,[109]
$.gameData.teams.away.league,object,1,0,[]
$.gameData.teams.away.league.id,integer,1,0,[104]
$.gameData.teams.away.league.link,string,1,0,"[""/api/v1/league/104""]"
$.gameData.teams.away.league.name,string,1,0,"[""National League""]"
$.gameData.teams.away.link,string,1,0,"[""/api/v1/teams/109""]"
$.gameData.teams.away.locationName,string,1,0,"[""Phoenix""]"
$.gameData.teams.away.name,string,1,0,"[""Arizona Diamondbacks""]"
$.gameData.teams.away.record,object,1,0,[]
$.gameData.teams.away.record.conferenceGamesBack,string,1,0,"[""-""]"
$.gameData.teams.away.record.divisionGamesBack,string,1,0,"[""-""]"
$.gameData.teams.away.record.divisionLeader,boolean,1,0,[false]
$.gameData.teams.away.record.gamesPlayed,integer,1,0,[5]
$.gameData.teams.away.record.leagueGamesBack,string,1,0,"[""-""]"
$.gameData.teams.away.record.leagueRecord,object,1,0,[]
$.gameData.teams.away.record.leagueRecord.losses,integer,1,0,[3]
$.gameData.teams.away.record.leagueRecord.pct,string,1,0,"["".400""]"
$.gameData.teams.away.record.leagueRecord.ties,integer,1,0,[0]
$.gameData.teams.away.record.leagueRecord.wins,integer,1,0,[2]
$.gameData.teams.away.record.losses,integer,1,0,[3]
$.gameData.teams.away.record.records,object,1,0,[]
$.gameData.teams.away.record.sportGamesBack,string,1,0,"[""-""]"
$.gameData.teams.away.record.springLeagueGamesBack,string,1,0,"[""-""]"
$.gameData.teams.away.record.wildCardGamesBack,string,1,0,"[""-""]"
$.gameData.teams.away.record.winningPercentage,string,1,0,"["".400""]"
$.gameData.teams.away.record.wins,integer,1,0,[2]
$.gameData.teams.away.season,integer,1,0,[2019]
$.gameData.teams.away.shortName,string,1,0,"[""Arizona""]"
$.gameData.teams.away.sport,object,1,0,[]
$.gameData.teams.away.sport.id,integer,1,0,[1]
$.gameData.teams.away.sport.link,string,1,0,"[""/api/v1/sports/1""]"
$.gameData.teams.away.sport.name,string,1,0,"[""Major League Baseball""]"
$.gameData.teams.away.springLeague,object,1,0,[]
$.gameData.teams.away.springLeague.abbreviation,string,1,0,"[""CL""]"
$.gameData.teams.away.springLeague.id,integer,1,0,[114]
$.gameData.teams.away.springLeague.link,string,1,0,"[""/api/v1/league/114""]"
$.gameData.teams.away.springLeague.name,string,1,0,"[""Cactus League""]"
$.gameData.teams.away.springVenue,object,1,0,[]
$.gameData.teams.away.springVenue.id,integer,1,0,[4249]
$.gameData.teams.away.springVenue.link,string,1,0,"[""/api/v1/venues/4249""]"
$.gameData.teams.away.teamCode,string,1,0,"[""ari""]"
$.gameData.teams.away.teamName,string,1,0,"[""D-backs""]"
$.gameData.teams.away.venue,object,1,0,[]
$.gameData.teams.away.venue.id,integer,1,0,[15]
$.gameData.teams.away.venue.link,string,1,0,"[""/api/v1/venues/15""]"
$.gameData.teams.away.venue.name,string,1,0,"[""Chase Field""]"
$.gameData.teams.home,object,1,0,[]
$.gameData.teams.home.abbreviation,string,1,0,"[""SD""]"
$.gameData.teams.home.active,boolean,1,0,[true]
$.gameData.teams.home.allStarStatus,string,1,0,"[""N""]"
$.gameData.teams.home.clubName,string,1,0,"[""Padres""]"
$.gameData.teams.home.division,object,1,0,[]
$.gameData.teams.home.division.id,integer,1,0,[203]
$.gameData.teams.home.division.link,string,1,0,"[""/api/v1/divisions/203""]"
$.gameData.teams.home.division.name,string,1,0,"[""National League West""]"
$.gameData.teams.home.fileCode,string,1,0,"[""sd""]"
$.gameData.teams.home.firstYearOfPlay,string,1,0,"[""1968""]"
$.gameData.teams.home.franchiseName,string,1,0,"[""San Diego""]"
$.gameData.teams.home.id,integer,1,0,[135]
$.gameData.teams.home.league,object,1,0,[]
$.gameData.teams.home.league.id,integer,1,0,[104]
$.gameData.teams.home.league.link,string,1,0,"[""/api/v1/league/104""]"
$.gameData.teams.home.league.name,string,1,0,"[""National League""]"
$.gameData.teams.home.link,string,1,0,"[""/api/v1/teams/135""]"
$.gameData.teams.home.locationName,string,1,0,"[""San Diego""]"
$.gameData.teams.home.name,string,1,0,"[""San Diego Padres""]"
$.gameData.teams.home.record,object,1,0,[]
$.gameData.teams.home.record.conferenceGamesBack,string,1,0,"[""-""]"
$.gameData.teams.home.record.divisionGamesBack,string,1,0,"[""-""]"
$.gameData.teams.home.record.divisionLeader,boolean,1,0,[false]
$.gameData.teams.home.record.gamesPlayed,integer,1,0,[5]
$.gameData.teams.home.record.leagueGamesBack,string,1,0,"[""-""]"
$.gameData.teams.home.record.leagueRecord,object,1,0,[]
$.gameData.teams.home.record.leagueRecord.losses,integer,1,0,[2]
$.gameData.teams.home.record.leagueRecord.pct,string,1,0,"["".600""]"
$.gameData.teams.home.record.leagueRecord.ties,integer,1,0,[0]
$.gameData.teams.home.record.leagueRecord.wins,integer,1,0,[3]
$.gameData.teams.home.record.losses,integer,1,0,[2]
$.gameData.teams.home.record.records,object,1,0,[]
$.gameData.teams.home.record.sportGamesBack,string,1,0,"[""-""]"
$.gameData.teams.home.record.springLeagueGamesBack,string,1,0,"[""-""]"
$.gameData.teams.home.record.wildCardGamesBack,string,1,0,"[""-""]"
$.gameData.teams.home.record.winningPercentage,string,1,0,"["".600""]"
$.gameData.teams.home.record.wins,integer,1,0,[3]
$.gameData.teams.home.season,integer,1,0,[2019]
$.gameData.teams.home.shortName,string,1,0,"[""San Diego""]"
$.gameData.teams.home.sport,object,1,0,[]
$.gameData.teams.home.sport.id,integer,1,0,[1]
$.gameData.teams.home.sport.link,string,1,0,"[""/api/v1/sports/1""]"
$.gameData.teams.home.sport.name,string,1,0,"[""Major League Baseball""]"
$.gameData.teams.home.springLeague,object,1,0,[]
$.gameData.teams.home.springLeague.abbreviation,string,1,0,"[""CL""]"
$.gameData.teams.home.springLeague.id,integer,1,0,[114]
$.gameData.teams.home.springLeague.link,string,1,0,"[""/api/v1/league/114""]"
$.gameData.teams.home.springLeague.name,string,1,0,"[""Cactus League""]"
$.gameData.teams.home.springVenue,object,1,0,[]
$.gameData.teams.home.springVenue.id,integer,1,0,[2530]
$.gameData.teams.home.springVenue.link,string,1,0,"[""/api/v1/venues/2530""]"
$.gameData.teams.home.teamCode,string,1,0,"[""sdn""]"
$.gameData.teams.home.teamName,string,1,0,"[""Padres""]"
$.gameData.teams.home.venue,object,1,0,[]
$.gameData.teams.home.venue.id,integer,1,0,[2680]
$.gameData.teams.home.venue.link,string,1,0,"[""/api/v1/venues/2680""]"
$.gameData.teams.home.venue.name,string,1,0,"[""Petco Park""]"
$.gameData.venue,object,1,0,[]
$.gameData.venue.active,boolean,1,0,[true]
$.gameData.venue.fieldInfo,object,1,0,[]
$.gameData.venue.fieldInfo.capacity,integer,1,0,[40222]
$.gameData.venue.fieldInfo.center,integer,1,0,[396]
$.gameData.venue.fieldInfo.leftCenter,integer,1,0,[386]
$.gameData.venue.fieldInfo.leftLine,integer,1,0,[336]
$.gameData.venue.fieldInfo.rightCenter,integer,1,0,[391]
$.gameData.venue.fieldInfo.rightLine,integer,1,0,[322]
$.gameData.venue.fieldInfo.roofType,string,1,0,"[""Open""]"
$.gameData.venue.fieldInfo.turfType,string,1,0,"[""Grass""]"
$.gameData.venue.id,integer,1,0,[2680]
$.gameData.venue.link,string,1,0,"[""/api/v1/venues/2680""]"
$.gameData.venue.location,object,1,0,[]
$.gameData.venue.location.address1,string,1,0,"[""100 Park Boulevard""]"
$.gameData.venue.location.azimuthAngle,number,1,0,[0.0]
$.gameData.venue.location.city,string,1,0,"[""San Diego""]"
$.gameData.venue.location.country,string,1,0,"[""USA""]"
$.gameData.venue.location.defaultCoordinates,object,1,0,[]
$.gameData.venue.location.defaultCoordinates.latitude,number,1,0,[32.707861]
$.gameData.venue.location.defaultCoordinates.longitude,number,1,0,[-117.157278]
$.gameData.venue.location.elevation,integer,1,0,[23]
$.gameData.venue.location.phone,string,1,0,"[""(619) 795-5000""]"
$.gameData.venue.location.postalCode,string,1,0,"[""92101""]"
$.gameData.venue.location.state,string,1,0,"[""California""]"
$.gameData.venue.location.stateAbbrev,string,1,0,"[""CA""]"
$.gameData.venue.name,string,1,0,"[""Petco Park""]"
$.gameData.venue.season,string,1,0,"[""2019""]"
$.gameData.venue.timeZone,object,1,0,[]
$.gameData.venue.timeZone.id,string,1,0,"[""America/Los_Angeles""]"
$.gameData.venue.timeZone.offset,integer,1,0,[-7]
$.gameData.venue.timeZone.offsetAtGameTime,integer,1,0,[-7]
$.gameData.venue.timeZone.tz,string,1,0,"[""PDT""]"
$.gameData.weather,object,1,0,[]
$.gameData.weather.condition,string,1,0,"[""Cloudy""]"
$.gameData.weather.temp,string,1,0,"[""65""]"
$.gameData.weather.wind,string,1,0,"[""8 mph, L To R""]"
$.gamePk,integer,1,0,[566279]
$.link,string,1,0,"[""/api/v1.1/game/566279/feed/live""]"
$.liveData,object,1,0,[]
$.liveData.boxscore,object,1,0,[]
$.liveData.boxscore.info,array,1,0,[]
$.liveData.boxscore.info[*],object,13,0,[]
$.liveData.boxscore.info[*].label,string,13,0,"[""Balk"", ""Pitches-strikes"", ""Groundouts-flyouts"", ""Batters faced"", ""Inherited runners-scored""]"
$.liveData.boxscore.info[*].value,string,12,0,"[""Strahm."", ""Kelly, Me 88-58; Duplantier 33-22; Strahm 65-41; Erlin 41-28; Maton, P 43-29; Stock 12-9."", ""Kelly, Me 7-4; Duplantier 4-1; Strahm 1-2; Erlin 4-1; Maton, P 4-2; Stock 0-0."", ""Kelly, Me 25; Duplantier 9; Strahm 17; Erlin 12; Maton, P 13; Stock 3."", ""Erlin 1-0.""]"
$.liveData.boxscore.officials,array,1,0,[]
$.liveData.boxscore.officials[*],object,4,0,[]
$.liveData.boxscore.officials[*].official,object,4,0,[]
$.liveData.boxscore.officials[*].official.fullName,string,4,0,"[""Mike Everitt"", ""Bill Welke"", ""Chris Guccione"", ""Lance Barrett""]"
$.liveData.boxscore.officials[*].official.id,integer,4,0,"[427156, 427534, 427197, 483561]"
$.liveData.boxscore.officials[*].official.link,string,4,0,"[""/api/v1/people/427156"", ""/api/v1/people/427534"", ""/api/v1/people/427197"", ""/api/v1/people/483561""]"
$.liveData.boxscore.officials[*].officialType,string,4,0,"[""Home Plate"", ""First Base"", ""Second Base"", ""Third Base""]"
$.liveData.boxscore.pitchingNotes,array,1,0,[]
$.liveData.boxscore.teams,object,1,0,[]
$.liveData.boxscore.teams.away,object,1,0,[]
$.liveData.boxscore.teams.away.batters,array,1,0,[]
$.liveData.boxscore.teams.away.batters[*],integer,11,0,"[430945, 500871, 527038, 444482, 572233]"
$.liveData.boxscore.teams.away.battingOrder,array,1,0,[]
$.liveData.boxscore.teams.away.battingOrder[*],integer,9,0,"[430945, 500871, 527038, 444482, 572233]"
$.liveData.boxscore.teams.away.bench,array,1,0,[]
$.liveData.boxscore.teams.away.bench[*],integer,3,0,"[502481, 608348, 571974]"
$.liveData.boxscore.teams.away.bullpen,array,1,0,[]
$.liveData.boxscore.teams.away.bullpen[*],integer,11,0,"[542882, 605151, 605177, 643327, 425844]"
$.liveData.boxscore.teams.away.info,array,1,0,[]
$.liveData.boxscore.teams.away.info[*],object,3,0,[]
$.liveData.boxscore.teams.away.info[*].fieldList,array,3,0,[]
$.liveData.boxscore.teams.away.info[*].fieldList[*],object,12,0,[]
$.liveData.boxscore.teams.away.info[*].fieldList[*].label,string,12,0,"[""2B"", ""HR"", ""TB"", ""RBI"", ""2-out RBI""]"
$.liveData.boxscore.teams.away.info[*].fieldList[*].value,string,12,0,"[""Flores (2, Strahm); Peralta, D 2 (3, Strahm, Strahm); Walker, C (2, Erlin); Ahmed (3, Erlin)."", ""Jones, A (3, 1st inning off Strahm, 0 on, 0 out)."", ""Ahmed 2; Avila; Escobar, Edu; Flores 2; Jones, A 5; Lamb; Marte, K 3; Peralta, D 5; Walker, C 3."", ""Ahmed 2 (5); Avila 2 (3); Escobar, Edu (1); Jones, A (3); Lamb (1); Marte, K (5); Peralta, D (4)."", ""Avila.""]"
$.liveData.boxscore.teams.away.info[*].title,string,3,0,"[""BATTING"", ""BASERUNNING"", ""FIELDING""]"
$.liveData.boxscore.teams.away.note,array,1,0,[]
$.liveData.boxscore.teams.away.note[*],object,1,0,[]
$.liveData.boxscore.teams.away.note[*].label,string,1,0,"[""a""]"
$.liveData.boxscore.teams.away.note[*].value,string,1,0,"[""Singled for Kelly, Me in the 7th.""]"
$.liveData.boxscore.teams.away.pitchers,array,1,0,[]
$.liveData.boxscore.teams.away.pitchers[*],integer,2,0,"[518876, 641541]"
$.liveData.boxscore.teams.away.players,object,1,0,[]
$.liveData.boxscore.teams.away.players.*,object,25,0,[]
$.liveData.boxscore.teams.away.players.*.allPositions,array,11,0,[]
$.liveData.boxscore.teams.away.players.*.allPositions[*],object,11,0,[]
$.liveData.boxscore.teams.away.players.*.allPositions[*].abbreviation,string,11,0,"[""P"", ""3B"", ""SS"", ""CF"", ""RF""]"
$.liveData.boxscore.teams.away.players.*.allPositions[*].code,string,11,0,"[""1"", ""5"", ""6"", ""8"", ""9""]"
$.liveData.boxscore.teams.away.players.*.allPositions[*].name,string,11,0,"[""Pitcher"", ""Third Base"", ""Shortstop"", ""Outfielder"", ""Second Base""]"
$.liveData.boxscore.teams.away.players.*.allPositions[*].type,string,11,0,"[""Pitcher"", ""Infielder"", ""Outfielder"", ""Hitter"", ""Catcher""]"
$.liveData.boxscore.teams.away.players.*.battingOrder,string,11,0,"[""902"", ""900"", ""200"", ""700"", ""600""]"
$.liveData.boxscore.teams.away.players.*.gameStatus,object,25,0,[]
$.liveData.boxscore.teams.away.players.*.gameStatus.isCurrentBatter,boolean,25,0,[false]
$.liveData.boxscore.teams.away.players.*.gameStatus.isCurrentPitcher,boolean,25,0,"[false, true]"
$.liveData.boxscore.teams.away.players.*.gameStatus.isOnBench,boolean,25,0,"[true, false]"
$.liveData.boxscore.teams.away.players.*.gameStatus.isSubstitute,boolean,25,0,"[false, true]"
$.liveData.boxscore.teams.away.players.*.jerseyNumber,string,25,0,"[""56"", ""52"", ""25"", ""57"", ""29""]"
$.liveData.boxscore.teams.away.players.*.parentTeamId,integer,25,0,[109]
$.liveData.boxscore.teams.away.players.*.person,object,25,0,[]
$.liveData.boxscore.teams.away.players.*.person.fullName,string,25,0,"[""Greg Holland"", ""Zack Godley"", ""Archie Bradley"", ""Jon Duplantier"", ""Merrill Kelly""]"
$.liveData.boxscore.teams.away.players.*.person.id,integer,25,0,"[518813, 643327, 605151, 641541, 518876]"
$.liveData.boxscore.teams.away.players.*.person.link,string,25,0,"[""/api/v1/people/518813"", ""/api/v1/people/643327"", ""/api/v1/people/605151"", ""/api/v1/people/641541"", ""/api/v1/people/518876""]"
$.liveData.boxscore.teams.away.players.*.position,object,25,0,[]
$.liveData.boxscore.teams.away.players.*.position.abbreviation,string,25,0,"[""P"", ""3B"", ""SS"", ""CF"", ""C""]"
$.liveData.boxscore.teams.away.players.*.position.code,string,25,0,"[""1"", ""5"", ""6"", ""8"", ""2""]"
$.liveData.boxscore.teams.away.players.*.position.name,string,25,0,"[""Pitcher"", ""Third Base"", ""Shortstop"", ""Outfielder"", ""Catcher""]"
$.liveData.boxscore.teams.away.players.*.position.type,string,25,0,"[""Pitcher"", ""Infielder"", ""Outfielder"", ""Catcher"", ""Hitter""]"
$.liveData.boxscore.teams.away.players.*.seasonStats,object,25,0,[]
$.liveData.boxscore.teams.away.players.*.seasonStats.batting,object,25,0,[]
$.liveData.boxscore.teams.away.players.*.seasonStats.batting.airOuts,integer,25,0,"[0, 1, 4, 8, 6]"
$.liveData.boxscore.teams.away.players.*.seasonStats.batting.atBats,integer,25,0,"[0, 2, 1, 20, 19]"
$.liveData.boxscore.teams.away.players.*.seasonStats.batting.atBatsPerHomeRun,string,25,0,"[""-.--"", ""2.00"", ""8.00"", ""24.00"", ""5.50""]"
$.liveData.boxscore.teams.away.players.*.seasonStats.batting.avg,string,25,0,"["".000"", "".500"", "".150"", "".263"", "".273""]"
$.liveData.boxscore.teams.away.players.*.seasonStats.batting.babip,string,25,0,"["".---"", "".000"", "".200"", "".278"", "".316""]"
$.liveData.boxscore.teams.away.players.*.seasonStats.batting.baseOnBalls,integer,25,0,"[0, 1, 2, 3, 5]"
$.liveData.boxscore.teams.away.players.*.seasonStats.batting.catchersInterference,integer,25,0,[0]
$.liveData.boxscore.teams.away.players.*.seasonStats.batting.caughtStealing,integer,25,0,[0]
$.liveData.boxscore.teams.away.players.*.seasonStats.batting.caughtStealingPercentage,string,25,0,"["".---"", "".000""]"
$.liveData.boxscore.teams.away.players.*.seasonStats.batting.doubles,integer,25,0,"[0, 1, 3, 2]"
$.liveData.boxscore.teams.away.players.*.seasonStats.batting.flyOuts,integer,25,0,"[0, 1, 3, 4, 2]"
